[Fri Mar 31 19:48:34.119309 2017] [:error] [pid 27746] [client 127.0.0.1:52737] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:49:19.918270 2017] [:error] [pid 27600] [client 127.0.0.1:52717] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 10, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:49:19.918323 2017] [:error] [pid 27600] [client 127.0.0.1:52717] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:49:19.918332 2017] [:error] [pid 27600] [client 127.0.0.1:52717] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:49:19.918336 2017] [:error] [pid 27600] [client 127.0.0.1:52717] PHP   2. clearstatcache() /var/www/html/poc/http_long_polling/ajax_polling_long.php:10, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:49:20.628266 2017] [:error] [pid 27679] [client 127.0.0.1:52732] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 11, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:49:20.628319 2017] [:error] [pid 27679] [client 127.0.0.1:52732] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:49:20.628327 2017] [:error] [pid 27679] [client 127.0.0.1:52732] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:49:20.628332 2017] [:error] [pid 27679] [client 127.0.0.1:52732] PHP   2. filemtime() /var/www/html/poc/http_long_polling/ajax_polling_long.php:11, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:49:23.322262 2017] [:error] [pid 27802] [client 127.0.0.1:52746] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:49:23.322311 2017] [:error] [pid 27802] [client 127.0.0.1:52746] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:49:23.322319 2017] [:error] [pid 27802] [client 127.0.0.1:52746] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:49:53.667267 2017] [:error] [pid 27773] [client 127.0.0.1:52743] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 10, referer: http://dbi-poc.com/http_long_polling/
